frase,situacao
sinto uma dor forte no peito e falta de ar,alto risco
estou com dor no peito que começou de repente e piora ao esforço,alto risco
tenho dificuldade intensa para respirar desde hoje,alto risco
estou com falta de ar e lábios arroxeados,alto risco
desmaiei e estou com dor no peito,alto risco
estou com fraqueza súbita em um lado do corpo,alto risco
tenho confusão repentina e dificuldade para falar,alto risco
estou com dor de cabeça súbita e muito intensa,alto risco
tenho vômitos persistentes e sinais de desidratação,alto risco
estou com sangramento intenso e tontura,alto risco
tenho febre alta com dificuldade para respirar,alto risco
estou com reação alérgica e dificuldade para respirar,alto risco
tive um leve incômodo nas costas depois de carregar peso,baixo risco
estou com um pequeno desconforto muscular no braço há dois dias,baixo risco
tenho espirros leves desde ontem,baixo risco
estou com congestão nasal leve há três dias,baixo risco
tenho uma dor de cabeça leve depois de dormir pouco,baixo risco
estou com dor muscular leve depois de fazer exercícios,baixo risco
tenho uma coceira leve nos olhos em alguns momentos,baixo risco
estou com um leve desconforto abdominal depois de uma refeição,baixo risco
tenho uma tosse leve sem falta de ar,baixo risco
estou com dor leve ao urinar desde hoje,baixo risco
sinto cansaço leve depois de uma semana corrida,baixo risco
tenho rigidez leve nas mãos pela manhã,baixo risco
