Sintoma 1,Sintoma 2,Doença Associada
dor no peito,aperto no peito,Angina (possível associação)
dor no peito,dor ao esforço,Angina (possível associação)
cansaço constante,fadiga,Insuficiência cardíaca (possível associação)
falta de ar,dificuldade para respirar,Doença respiratória (possível associação)
dor de cabeça,sensibilidade à luz,Enxaqueca (possível associação)
febre,tosse,Infecção respiratória (possível associação)
muita sede,urinar frequentemente,Diabetes mellitus (possível associação)
dor abdominal,vômito,Gastroenterite (possível associação)
dor ao urinar,vontade frequente de urinar,Infecção urinária (possível associação)
dor nas articulações,rigidez matinal,Artrite inflamatória (possível associação)
congestão nasal,espirros,Rinite alérgica (possível associação)
coceira nos olhos,espirros,Rinite alérgica (possível associação)
febre,dores no corpo,Infecção viral (possível associação)
náusea,vômito,Gastroenterite (possível associação)
dor abdominal,náusea,Distúrbio gastrointestinal (possível associação)
